.,n,Word,Freq,Rank
the,1372,the,1372,1
of,906,of,906,2
to,292,to,292,3
and,285,and,285,4
or,279,or,279,5
shall,235,shall,235,6
in,226,in,226,7
a,212,a,212,8
be,208,be,208,9
state,204,state,204,10
any,184,any,184,11
commonwealth,170,commonwealth,170,12
by,162,by,162,13
parliament,137,parliament,137,14
for,125,for,125,15
as,109,as,109,16
may,95,may,95,17
such,88,such,88,18
house,87,house,87,19
this,64,this,64,20
is,63,is,63,21
law,63,law,63,22
on,62,on,62,23
with,61,with,61,24
general,60,general,60,25
not,59,not,59,26
which,59,which,59,27
at,57,at,57,28
if,55,if,55,29
that,54,that,54,30
"
the",52,"
the",52,31
constitution,49,constitution,49,32
laws,49,laws,49,33
states,49,states,49,34
governor,46,governor,46,35
but,45,but,45,36
from,43,from,43,37
court,40,court,40,38
queen,40,queen,40,39
other,39,other,39,40
until,39,until,39,41
senate,38,senate,38,42
representatives,37,representatives,37,43
"
",36,"
",36,44
each,36,each,36,45
his,36,his,36,46
after,35,after,35,47
an,35,an,35,48
one,35,one,35,49
chosen,33,chosen,33,50
he,33,he,33,51
make,32,make,32,52
senator,31,senator,31,53
it,30,it,30,54
proposed,30,proposed,30,55
office,29,office,29,56
duties,28,duties,28,57
members,28,members,28,58
otherwise,28,otherwise,28,59
under,28,under,28,60
subject,27,subject,27,61
time,27,time,27,62
"
commonwealth",25,"
commonwealth",25,63
council,25,council,25,64
section,25,section,25,65
have,24,have,24,66
i,24,i,24,67
all,23,all,23,68
government,23,government,23,69
member,23,member,23,70
respect,23,respect,23,71
"
of",22,"
of",22,72
number,22,number,22,73
people,22,people,22,74
service,22,service,22,75
so,22,so,22,76
first,21,first,21,77
made,21,made,21,78
no,21,no,21,79
provides,21,provides,21,80
within,21,within,21,81
"
governor",20,"
governor",20,82
establishment,20,establishment,20,83
goods,20,goods,20,84
ii,20,ii,20,85
into,20,into,20,86
s,20,s,20,87
senators,20,senators,20,88
years,20,years,20,89
become,19,become,19,90
high,19,high,19,91
person,19,person,19,92
australia,18,australia,18,93
been,18,been,18,94
customs,18,customs,18,95
than,18,than,18,96
"the
",18,"the
",18,97
appointed,17,appointed,17,98
before,17,before,17,99
during,17,during,17,100
executive,17,executive,17,101
federal,17,federal,17,102
part,17,part,17,103
place,17,place,17,104
vacancy,17,vacancy,17,105
"
shall",16,"
shall",16,106
being,16,being,16,107
chapter,16,chapter,16,108
iii,16,iii,16,109
its,16,its,16,110
only,16,only,16,111
uniform,16,uniform,16,112
"
state",15,"
state",15,113
colony,15,colony,15,114
has,15,has,15,115
taken,15,taken,15,116
term,15,term,15,117
there,15,there,15,118
thereof,15,thereof,15,119
"
representatives",14,"
representatives",14,120
act,14,act,14,121
day,14,day,14,122
houses,14,houses,14,123
imposition,14,imposition,14,124
power,14,power,14,125
powers,14,powers,14,126
public,14,public,14,127
revenue,14,revenue,14,128
election,13,election,13,129
every,13,every,13,130
limits,13,limits,13,131
several,13,several,13,132
vote,13,vote,13,133
"
and",12,"
and",12,134
"
or",12,"
or",12,135
debts,12,debts,12,136
force,12,force,12,137
had,12,had,12,138
her,12,her,12,139
hold,12,hold,12,140
jurisdiction,12,jurisdiction,12,141
justice,12,justice,12,142
president,12,president,12,143
provision,12,provision,12,144
session,12,session,12,145
south,12,south,12,146
two,12,two,12,147
upon,12,upon,12,148
vacant,12,vacant,12,149
when,12,when,12,150
age,11,age,11,151
are,11,are,11,152
becomes,11,becomes,11,153
either,11,either,11,154
elections,11,elections,11,155
majority,11,majority,11,156
new,11,new,11,157
original,11,original,11,158
provisions,11,provisions,11,159
same,11,same,11,160
territory,11,territory,11,161
unless,11,unless,11,162
"
parliament",10,"
parliament",10,163
appointment,10,appointment,10,164
commencement,10,commencement,10,165
consent,10,consent,10,166
dissolution,10,dissolution,10,167
expiration,10,expiration,10,168
five,10,five,10,169
iv,10,iv,10,170
majesty,10,majesty,10,171
matters,10,matters,10,172
more,10,more,10,173
officer,10,officer,10,174
passing,10,passing,10,175
six,10,six,10,176
speaker,10,speaker,10,177
who,10,who,10,178
"
any",9,"
any",9,179
alteration,9,alteration,9,180
last,9,last,9,181
passes,9,passes,9,182
trade,9,trade,9,183
was,9,was,9,184
without,9,without,9,185
agreed,8,agreed,8,186
amendments,8,amendments,8,187
both,8,both,8,188
department,8,department,8,189
duty,8,duty,8,190
excise,8,excise,8,191
imposing,8,imposing,8,192
manner,8,manner,8,193
months,8,months,8,194
"of
",8,"of
",8,195
pass,8,pass,8,196
services,8,services,8,197
therein,8,therein,8,198
three,8,three,8,199
twenty,8,twenty,8,200
vested,8,vested,8,201
year,8,year,8,202
"
constitution",7,"
constitution",7,203
"
to",7,"
to",7,204
anything,7,anything,7,205
apply,7,apply,7,206
assent,7,assent,7,207
created,7,created,7,208
electors,7,electors,7,209
entitled,7,entitled,7,210
except,7,except,7,211
exercise,7,exercise,7,212
expenditure,7,expenditure,7,213
fails,7,fails,7,214
inter,7,inter,7,215
justices,7,justices,7,216
less,7,less,7,217
mentioned,7,mentioned,7,218
money,7,money,7,219
moneys,7,moneys,7,220
necessary,7,necessary,7,221
pay,7,pay,7,222
places,7,places,7,223
pleasure,7,pleasure,7,224
proclamation,7,proclamation,7,225
property,7,property,7,226
qualification,7,qualification,7,227
question,7,question,7,228
relating,7,relating,7,229
representation,7,representation,7,230
seat,7,seat,7,231
sitting,7,sitting,7,232
their,7,their,7,233
transferred,7,transferred,7,234
v,7,v,7,235
victoria,7,victoria,7,236
western,7,western,7,237
"
from",6,"
from",6,238
"
house",6,"
house",6,239
"
in",6,"
in",6,240
"
not",6,"
not",6,241
"
that",6,"
that",6,242
1977,6,1977,6,243
absence,6,absence,6,244
advice,6,advice,6,245
again,6,again,6,246
against,6,against,6,247
agreement,6,agreement,6,248
another,6,another,6,249
arising,6,arising,6,250
authority,6,authority,6,251
b,6,b,6,252
between,6,between,6,253
beyond,6,beyond,6,254
choose,6,choose,6,255
deal,6,deal,6,256
deemed,6,deemed,6,257
fit,6,fit,6,258
imposed,6,imposed,6,259
matter,6,matter,6,260
military,6,military,6,261
naval,6,naval,6,262
next,6,next,6,263
out,6,out,6,264
parliaments,6,parliaments,6,265
parts,6,parts,6,266
party,6,party,6,267
payment,6,payment,6,268
prescribes,6,prescribes,6,269
purposes,6,purposes,6,270
receipt,6,receipt,6,271
taxation,6,taxation,6,272
thinks,6,thinks,6,273
"to
",6,"to
",6,274
vacancies,6,vacancies,6,275
voting,6,voting,6,276
will,6,will,6,277
"
as",5,"
as",5,278
"
council",5,"
council",5,279
"
first",5,"
first",5,280
"
have",5,"
have",5,281
"
such",5,"
such",5,282
"
under",5,"
under",5,283
"a
",5,"a
",5,284
agree,5,agree,5,285
also,5,also,5,286
amendment,5,amendment,5,287
appeal,5,appeal,5,288
appoint,5,appoint,5,289
"by
",5,"by
",5,290
case,5,case,5,291
cease,5,cease,5,292
commerce,5,commerce,5,293
commission,5,commission,5,294
continuance,5,continuance,5,295
control,5,control,5,296
days,5,days,5,297
equal,5,equal,5,298
exclusive,5,exclusive,5,299
following,5,following,5,300
follows,5,follows,5,301
him,5,him,5,302
holding,5,holding,5,303
hundred,5,hundred,5,304
interest,5,interest,5,305
kingdom,5,kingdom,5,306
ministers,5,ministers,5,307
must,5,must,5,308
notwithstanding,5,notwithstanding,5,309
numerous,5,numerous,5,310
operation,5,operation,5,311
over,5,over,5,312
paid,5,paid,5,313
passed,5,passed,5,314
payable,5,payable,5,315
pension,5,pension,5,316
persons,5,persons,5,317
queensland,5,queensland,5,318
rejects,5,rejects,5,319
resident,5,resident,5,320
resign,5,resign,5,321
rights,5,rights,5,322
supreme,5,supreme,5,323
tasmania,5,tasmania,5,324
ten,5,ten,5,325
terms,5,terms,5,326
those,5,those,5,327
thousand,5,thousand,5,328
throughout,5,throughout,5,329
united,5,united,5,330
wales,5,wales,5,331
whenever,5,whenever,5,332
whose,5,whose,5,333
writs,5,writs,5,334
"
be",4,"
be",4,335
"
but",4,"
but",4,336
"
determined",4,"
determined",4,337
"
electors",4,"
electors",4,338
"
for",4,"
for",4,339
"
government",4,"
government",4,340
"
hundred",4,"
hundred",4,341
"
senate",4,"
senate",4,342
absent,4,absent,4,343
absolute,4,absolute,4,344
accordance,4,accordance,4,345
according,4,according,4,346
addressed,4,addressed,4,347
admission,4,admission,4,348
amend,4,amend,4,349
"and
",4,"and
",4,350
annual,4,annual,4,351
casual,4,casual,4,352
charges,4,charges,4,353
choosing,4,choosing,4,354
colonies,4,colonies,4,355
conditions,4,conditions,4,356
consequence,4,consequence,4,357
consolidated,4,consolidated,4,358
courts,4,courts,4,359
departments,4,departments,4,360
determined,4,determined,4,361
different,4,different,4,362
diminishing,4,diminishing,4,363
eight,4,eight,4,364
elector,4,elector,4,365
established,4,established,4,366
exceed,4,exceed,4,367
execution,4,execution,4,368
expiring,4,expiring,4,369
export,4,export,4,370
extend,4,extend,4,371
fifth,4,fifth,4,372
form,4,form,4,373
formed,4,formed,4,374
fund,4,fund,4,375
grant,4,grant,4,376
held,4,held,4,377
impose,4,impose,4,378
including,4,including,4,379
issued,4,issued,4,380
judicial,4,judicial,4,381
kind,4,kind,4,382
least,4,least,4,383
maintenance,4,maintenance,4,384
maximum,4,maximum,4,385
meeting,4,meeting,4,386
message,4,message,4,387
name,4,name,4,388
nearly,4,nearly,4,389
occurred,4,occurred,4,390
offence,4,offence,4,391
officers,4,officers,4,392
period,4,period,4,393
pounds,4,pounds,4,394
practicable,4,practicable,4,395
preceding,4,preceding,4,396
purpose,4,purpose,4,397
railways,4,railways,4,398
receive,4,receive,4,399
removed,4,removed,4,400
remuneration,4,remuneration,4,401
repeal,4,repeal,4,402
retained,4,retained,4,403
right,4,right,4,404
salary,4,salary,4,405
seventy,4,seventy,4,406
statistics,4,statistics,4,407
surplus,4,surplus,4,408
take,4,take,4,409
then,4,then,4,410
