.,n,Word,Freq,Rank
you,508,you,508,1
i,466,i,466,2
the,335,the,335,3
it,279,it,279,4
a,229,a,229,5
that,228,that,228,6
to,223,to,223,7
we,212,we,212,8
of,131,of,131,9
what,131,what,131,10
and,125,and,125,11
no,116,no,116,12
this,116,this,116,13
me,114,me,114,14
is,104,is,104,15
re,104,re,104,16
in,103,in,103,17
know,101,know,101,18
m,99,m,99,19
on,97,on,97,20
do,81,do,81,21
he,81,he,81,22
are,78,are,78,23
not,76,not,76,24
for,73,for,73,25
be,72,be,72,26
don,71,don,71,27
have,71,have,71,28
my,71,my,71,29
can,69,can,69,30
all,67,all,67,31
right,67,right,67,32
time,67,time,67,33
was,64,was,64,34
got,61,got,61,35
here,59,here,59,36
there,59,there,59,37
your,59,your,59,38
but,57,but,57,39
get,56,get,56,40
back,54,back,54,41
yeah,54,yeah,54,42
one,53,one,53,43
so,52,so,52,44
gonna,51,gonna,51,45
just,51,just,51,46
like,47,like,47,47
okay,46,okay,46,48
if,44,if,44,49
stones,44,stones,44,50
did,43,did,43,51
now,42,now,42,52
where,42,where,42,53
up,41,up,41,54
about,40,about,40,55
with,39,with,39,56
hey,38,hey,38,57
they,38,they,38,58
who,36,who,36,59
him,33,him,33,60
come,32,come,32,61
go,32,go,32,62
ll,32,ll,32,63
she,32,she,32,64
good,31,good,31,65
how,31,how,31,66
at,30,at,30,67
out,30,out,30,68
them,30,them,30,69
then,30,then,30,70
thanos,29,thanos,29,71
oh,28,oh,28,72
stone,28,stone,28,73
will,28,will,28,74
way,27,way,27,75
been,26,been,26,76
let,26,let,26,77
need,26,need,26,78
our,26,our,26,79
see,26,see,26,80
think,26,think,26,81
well,26,well,26,82
take,25,take,25,83
ve,25,ve,25,84
an,23,an,23,85
as,23,as,23,86
going,23,going,23,87
her,23,her,23,88
down,22,down,22,89
guys,22,guys,22,90
look,22,look,22,91
why,22,why,22,92
bring,21,bring,21,93
from,21,from,21,94
or,21,or,21,95
stop,21,stop,21,96
want,21,want,21,97
were,21,were,21,98
years,21,years,21,99
didn,20,didn,20,100
had,20,had,20,101
only,20,only,20,102
something,20,something,20,103
yes,20,yes,20,104
little,19,little,19,105
lost,19,lost,19,106
please,19,please,19,107
tell,19,tell,19,108
thing,19,thing,19,109
wanna,19,wanna,19,110
cap,18,cap,18,111
tony,18,tony,18,112
us,17,us,17,113
won,17,won,17,114
d,16,d,16,115
sorry,16,sorry,16,116
when,16,when,16,117
doesn,15,doesn,15,118
future,15,future,15,119
help,15,help,15,120
man,15,man,15,121
scott,15,scott,15,122
work,15,work,15,123
am,14,am,14,124
done,14,done,14,125
his,14,his,14,126
off,14,off,14,127
say,14,say,14,128
some,14,some,14,129
thank,14,thank,14,130
two,14,two,14,131
very,14,very,14,132
even,13,even,13,133
feel,13,feel,13,134
give,13,give,13,135
long,13,long,13,136
never,13,never,13,137
really,13,really,13,138
should,13,should,13,139
thor,13,thor,13,140
wait,13,wait,13,141
would,13,would,13,142
again,12,again,12,143
because,12,because,12,144
by,12,by,12,145
five,12,five,12,146
gotta,12,gotta,12,147
has,12,has,12,148
life,12,life,12,149
maybe,12,maybe,12,150
new,12,new,12,151
nothing,12,nothing,12,152
other,12,other,12,153
people,12,people,12,154
quantum,12,quantum,12,155
talk,12,talk,12,156
things,12,things,12,157
too,12,too,12,158
trying,12,trying,12,159
ago,11,ago,11,160
before,11,before,11,161
better,11,better,11,162
chance,11,chance,11,163
course,11,course,11,164
father,11,father,11,165
lot,11,lot,11,166
said,11,said,11,167
stark,11,stark,11,168
talking,11,talking,11,169
these,11,these,11,170
try,11,try,11,171
always,10,always,10,172
around,10,around,10,173
doing,10,doing,10,174
else,10,else,10,175
everybody,10,everybody,10,176
everyone,10,everyone,10,177
everything,10,everything,10,178
god,10,god,10,179
great,10,great,10,180
guy,10,guy,10,181
looking,10,looking,10,182
love,10,love,10,183
remember,10,remember,10,184
space,10,space,10,185
travel,10,travel,10,186
any,9,any,9,187
anything,9,anything,9,188
ask,9,ask,9,189
bad,9,bad,9,190
bruce,9,bruce,9,191
does,9,does,9,192
find,9,find,9,193
first,9,first,9,194
found,9,found,9,195
gone,9,gone,9,196
head,9,head,9,197
left,9,left,9,198
mean,9,mean,9,199
more,9,more,9,200
move,9,move,9,201
mr,9,mr,9,202
much,9,much,9,203
point,9,point,9,204
thought,9,thought,9,205
three,9,three,9,206
after,8,after,8,207
buddy,8,buddy,8,208
case,8,case,8,209
coming,8,coming,8,210
could,8,could,8,211
crazy,8,crazy,8,212
ever,8,ever,8,213
fine,8,fine,8,214
hulk,8,hulk,8,215
idea,8,idea,8,216
isn,8,isn,8,217
job,8,job,8,218
kid,8,kid,8,219
over,8,over,8,220
own,8,own,8,221
part,8,part,8,222
power,8,power,8,223
second,8,second,8,224
shot,8,shot,8,225
six,8,six,8,226
those,8,those,8,227
though,8,though,8,228
3,7,3,7,229
actually,7,actually,7,230
alright,7,alright,7,231
another,7,another,7,232
both,7,both,7,233
careful,7,careful,7,234
daughter,7,daughter,7,235
dead,7,dead,7,236
each,7,each,7,237
enough,7,enough,7,238
family,7,family,7,239
hell,7,hell,7,240
home,7,home,7,241
hope,7,hope,7,242
kill,7,kill,7,243
killed,7,killed,7,244
kind,7,kind,7,245
knows,7,knows,7,246
might,7,might,7,247
mind,7,mind,7,248
miss,7,miss,7,249
mom,7,mom,7,250
nice,7,nice,7,251
past,7,past,7,252
planet,7,planet,7,253
pull,7,pull,7,254
reality,7,reality,7,255
shit,7,shit,7,256
still,7,still,7,257
strange,7,strange,7,258
supposed,7,supposed,7,259
telling,7,telling,7,260
universe,7,universe,7,261
used,7,used,7,262
which,7,which,7,263
whoa,7,whoa,7,264
yet,7,yet,7,265
1,6,1,6,266
aren,6,aren,6,267
away,6,away,6,268
baby,6,baby,6,269
being,6,being,6,270
best,6,best,6,271
big,6,big,6,272
called,6,called,6,273
cause,6,cause,6,274
dad,6,dad,6,275
doctor,6,doctor,6,276
either,6,either,6,277
exactly,6,exactly,6,278
guess,6,guess,6,279
heist,6,heist,6,280
idiot,6,idiot,6,281
infinity,6,infinity,6,282
into,6,into,6,283
last,6,last,6,284
loki,6,loki,6,285
machine,6,machine,6,286
must,6,must,6,287
nebula,6,nebula,6,288
old,6,old,6,289
plan,6,plan,6,290
potts,6,potts,6,291
put,6,put,6,292
quill,6,quill,6,293
realm,6,realm,6,294
seen,6,seen,6,295
ship,6,ship,6,296
sir,6,sir,6,297
soul,6,soul,6,298
sure,6,sure,6,299
through,6,through,6,300
today,6,today,6,301
together,6,together,6,302
uh,6,uh,6,303
wasn,6,wasn,6,304
went,6,went,6,305
whatever,6,whatever,6,306
whole,6,whole,6,307
world,6,world,6,308
0,5,0,5,309
000,5,000,5,310
2,5,2,5,311
already,5,already,5,312
america,5,america,5,313
anyone,5,anyone,5,314
avengers,5,avengers,5,315
become,5,become,5,316
believe,5,believe,5,317
breathe,5,breathe,5,318
bunch,5,bunch,5,319
call,5,call,5,320
captain,5,captain,5,321
care,5,care,5,322
clint,5,clint,5,323
different,5,different,5,324
easy,5,easy,5,325
excuse,5,excuse,5,326
face,5,face,5,327
fight,5,fight,5,328
girl,5,girl,5,329
green,5,green,5,330
happy,5,happy,5,331
hi,5,hi,5,332
keep,5,keep,5,333
looks,5,looks,5,334
lose,5,lose,5,335
luck,5,luck,5,336
lunch,5,lunch,5,337
make,5,make,5,338
means,5,means,5,339
morag,5,morag,5,340
pal,5,pal,5,341
person,5,person,5,342
pretty,5,pretty,5,343
probably,5,probably,5,344
problem,5,problem,5,345
promise,5,promise,5,346
same,5,same,5,347
saying,5,saying,5,348
shouldn,5,shouldn,5,349
sit,5,sit,5,350
stairs,5,stairs,5,351
story,5,story,5,352
takes,5,takes,5,353
than,5,than,5,354
thanks,5,thanks,5,355
uhh,5,uhh,5,356
win,5,win,5,357
worked,5,worked,5,358
yourself,5,yourself,5,359
7,4,7,4,360
aether,4,aether,4,361
ant,4,ant,4,362
asgard,4,asgard,4,363
ass,4,ass,4,364
boys,4,boys,4,365
change,4,change,4,366
charge,4,charge,4,367
couldn,4,couldn,4,368
day,4,day,4,369
days,4,days,4,370
death,4,death,4,371
dr,4,dr,4,372
drop,4,drop,4,373
earth,4,earth,4,374
end,4,end,4,375
eye,4,eye,4,376
fact,4,fact,4,377
few,4,few,4,378
fingers,4,fingers,4,379
friends,4,friends,4,380
fun,4,fun,4,381
game,4,game,4,382
gave,4,gave,4,383
goodbye,4,goodbye,4,384
happened,4,happened,4,385
hear,4,hear,4,386
history,4,history,4,387
hit,4,hit,4,388
honestly,4,honestly,4,389
howard,4,howard,4,390
huh,4,huh,4,391
impossible,4,impossible,4,392
its,4,its,4,393
jane,4,jane,4,394
lang,4,lang,4,395
lila,4,lila,4,396
listen,4,listen,4,397
making,4,making,4,398
many,4,many,4,399
meant,4,meant,4,400
meet,4,meet,4,401
met,4,met,4,402
name,4,name,4,403
natasha,4,natasha,4,404
once,4,once,4,405
