Character,Freq,Rank
衣,141,1
鞋,135,2
包,134,3
女,125,4
男,107,5
电,101,6
裤,98,7
手,96,8
具,92,9
家,92,10
器,90,11
机,89,12
品,87,13
件,77,14
用,76,15
车,70,16
子,67,17
装,61,18
服,59,19
裙,57,20
行,56,21
配,54,22
恤,52,23
套,50,24
文,50,25
动,49,26
機,48,27
電,48,28
泳,46,29
大,43,30
店,43,31
水,43,32
灯,43,33
饰,43,34
能,42,35
士,41,36
箱,41,37
旗,40,38
眼,40,39
物,39,40
背,39,41
胸,38,42
裝,38,43
内,37,44
智,37,45
人,36,46
摩,36,47
褲,36,48
帽,34,49
童,34,50
居,31,51
连,31,52
镜,31,53
款,30,54
游,30,55
运,30,56
小,29,57
衫,29,58
身,29,59
工,28,60
巾,28,61
影,28,62
棉,28,63
票,28,64
新,27,65
门,27,66
床,26,67
板,26,68
表,26,69
字,25,70
平,25,71
本,25,72
材,25,73
球,25,74
地,24,75
心,24,76
收,24,77
料,24,78
椅,24,79
毛,24,80
車,24,81
面,24,82
吊,23,83
垫,23,84
外,23,85
盒,23,86
短,23,87
跟,23,88
保,22,89
凉,22,90
動,22,91
头,22,92
拉,22,93
方,22,94
淘,22,95
休,21,96
儿,21,97
內,21,98
全,21,99
中,20,100
仔,20,101
带,20,102
底,20,103
按,20,104
汽,20,105
牛,20,106
理,20,107
皮,20,108
美,20,109
脑,20,110
艦,20,111
加,19,112
台,19,113
拖,19,114
日,19,115
燈,19,116
西,19,117
长,19,118
防,19,119
飾,19,120
布,18,121
架,18,122
柜,18,123
笔,18,124
腰,18,125
自,18,126
发,17,127
型,17,128
宝,17,129
打,17,130
玩,17,131
网,17,132
耳,17,133
舰,17,134
袋,17,135
鏡,17,136
风,17,137
高,17,138
化,16,139
卡,16,140
巴,16,141
托,16,142
沙,16,143
登,16,144
石,16,145
袖,16,146
護,16,147
闲,16,148
阳,16,149
单,15,150
吸,15,151
围,15,152
式,15,153
旅,15,154
睡,15,155
码,15,156
纳,15,157
餐,15,158
香,15,159
骑,15,160
上,14,161
夏,14,162
太,14,163
婚,14,164
寶,14,165
房,14,166
数,14,167
杆,14,168
桌,14,169
浴,14,170
生,14,171
肩,14,172
记,14,173
連,14,174
部,14,175
音,14,176
书,13,177
体,13,178
国,13,179
射,13,180
护,13,181
指,13,182
枕,13,183
模,13,184
港,13,185
滑,13,186
火,13,187
绒,13,188
遊,13,189
運,13,190
零,13,191
一,12,192
可,12,193
坡,12,194
备,12,195
官,12,196
封,12,197
尼,12,198
山,12,199
帆,12,200
开,12,201
成,12,202
放,12,203
杯,12,204
海,12,205
清,12,206
烟,12,207
环,12,208
相,12,209
纯,12,210
纺,12,211
线,12,212
腦,12,213
隔,12,214
雪,12,215
乳,11,216
你,11,217
健,11,218
光,11,219
克,11,220
公,11,221
周,11,222
商,11,223
学,11,224
整,11,225
果,11,226
潮,11,227
礼,11,228
空,11,229
網,11,230
膜,11,231
设,11,232
证,11,233
丝,10,234
付,10,235
仪,10,236
信,10,237
像,10,238
分,10,239
南,10,240
厨,10,241
國,10,242
天,10,243
戲,10,244
洗,10,245
牙,10,246
盔,10,247
碼,10,248
腿,10,249
购,10,250
里,10,251
阿,10,252
专,9,253
乐,9,254
修,9,255
備,9,256
区,9,257
塑,9,258
孕,9,259
安,9,260
座,9,261
戏,9,262
户,9,263
數,9,264
无,9,265
步,9,266
毯,9,267
流,9,268
热,9,269
禮,9,270
组,9,271
脚,9,272
