REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2020/06/01 00:30:00,7070.4,34.99,TRADE
NSW1,2020/06/01 01:00:00,6933.37,34.99,TRADE
NSW1,2020/06/01 01:30:00,6744.44,34.54,TRADE
NSW1,2020/06/01 02:00:00,6574.63,34.99,TRADE
NSW1,2020/06/01 02:30:00,6318.58,32.62,TRADE
NSW1,2020/06/01 03:00:00,6153.36,28.98,TRADE
NSW1,2020/06/01 03:30:00,6096.3,27.22,TRADE
NSW1,2020/06/01 04:00:00,6050.61,26.95,TRADE
NSW1,2020/06/01 04:30:00,6101.98,30.05,TRADE
NSW1,2020/06/01 05:00:00,6247.28,30.02,TRADE
NSW1,2020/06/01 05:30:00,6532.85,27.02,TRADE
NSW1,2020/06/01 06:00:00,6807.09,12.58,TRADE
NSW1,2020/06/01 06:30:00,7422.22,30.40,TRADE
NSW1,2020/06/01 07:00:00,7957.39,37.44,TRADE
NSW1,2020/06/01 07:30:00,8437.91,40.77,TRADE
NSW1,2020/06/01 08:00:00,8797.49,42.42,TRADE
NSW1,2020/06/01 08:30:00,8818.94,42.35,TRADE
NSW1,2020/06/01 09:00:00,8525.68,38.37,TRADE
NSW1,2020/06/01 09:30:00,8320.24,36.70,TRADE
NSW1,2020/06/01 10:00:00,8058.73,37.77,TRADE
NSW1,2020/06/01 10:30:00,7875.53,35.70,TRADE
NSW1,2020/06/01 11:00:00,7676.33,35.61,TRADE
NSW1,2020/06/01 11:30:00,7587.15,34.34,TRADE
NSW1,2020/06/01 12:00:00,7503.41,34.65,TRADE
NSW1,2020/06/01 12:30:00,7403.22,33.85,TRADE
NSW1,2020/06/01 13:00:00,7424.16,34.30,TRADE
NSW1,2020/06/01 13:30:00,7529.25,41.87,TRADE
NSW1,2020/06/01 14:00:00,7515.79,34.99,TRADE
NSW1,2020/06/01 14:30:00,7674.28,37.99,TRADE
NSW1,2020/06/01 15:00:00,7804.14,38.48,TRADE
NSW1,2020/06/01 15:30:00,8022.23,37.19,TRADE
NSW1,2020/06/01 16:00:00,8396.84,34.87,TRADE
NSW1,2020/06/01 16:30:00,8739.06,35.31,TRADE
NSW1,2020/06/01 17:00:00,9138.75,38.60,TRADE
NSW1,2020/06/01 17:30:00,9726.15,39.61,TRADE
NSW1,2020/06/01 18:00:00,10238.38,45.73,TRADE
NSW1,2020/06/01 18:30:00,10143.34,45.33,TRADE
NSW1,2020/06/01 19:00:00,9989.63,40.49,TRADE
NSW1,2020/06/01 19:30:00,9737.8,38.13,TRADE
NSW1,2020/06/01 20:00:00,9465.4,38.39,TRADE
NSW1,2020/06/01 20:30:00,9267.57,41.92,TRADE
NSW1,2020/06/01 21:00:00,9106.02,39.41,TRADE
NSW1,2020/06/01 21:30:00,8857.19,38.39,TRADE
NSW1,2020/06/01 22:00:00,8520.28,37.92,TRADE
NSW1,2020/06/01 22:30:00,8436.03,38.01,TRADE
NSW1,2020/06/01 23:00:00,8256.59,38.23,TRADE
