Date,Demand,MaxTemp,Wend
2017-04-01,202.288,19,Weekend
2017-04-02,197.984,18.4,Weekend
2017-04-03,224.551,21.7,Weekday
2017-04-04,229.556,24.8,Weekday
2017-04-05,230.905,25.9,Weekday
2017-04-06,234.149,26,Weekday
2017-04-07,231.267,26.7,Weekday
2017-04-08,206.711,28.8,Weekend
2017-04-09,208.768,14.8,Weekend
2017-04-10,245.006,14,Weekday
2017-04-11,236.763,19,Weekday
2017-04-12,233.069,19.5,Weekday
2017-04-13,228.386,23.6,Weekday
2017-04-14,198.677,17.6,Weekday
2017-04-15,201.654,16.6,Weekend
2017-04-16,196.219,21.7,Weekend
2017-04-17,203.274,17.9,Weekday
2017-04-18,230.919,21.4,Weekday
2017-04-19,235.2,26.3,Weekday
2017-04-20,235.989,26.3,Weekday
2017-04-21,236.035,19.1,Weekday
2017-04-22,205.607,22.1,Weekend
2017-04-23,197.433,22,Weekend
2017-04-24,224.704,23.4,Weekday
2017-04-25,208.619,18.1,Weekday
2017-04-26,250.757,14.2,Weekday
2017-04-27,259.799,14.4,Weekday
2017-04-28,246.906,18.6,Weekday
2017-04-29,216.498,19.4,Weekend
2017-04-30,211.23,16.1,Weekend
2017-05-01,243.785,18.7,Weekday
2017-05-02,255.617,14.8,Weekday
2017-05-03,261.056,14.9,Weekday
2017-05-04,258.375,16.6,Weekday
2017-05-05,252.296,19.7,Weekday
2017-05-06,224.203,19.5,Weekend
2017-05-07,224.46,14.5,Weekend
2017-05-08,258.763,15.2,Weekday
2017-05-09,256.886,15.8,Weekday
2017-05-10,253.367,17.2,Weekday
2017-05-11,259.64,16.6,Weekday
2017-05-12,249.919,19.2,Weekday
2017-05-13,221.453,15.2,Weekend
2017-05-14,218.905,13.5,Weekend
2017-05-15,258.162,15.3,Weekday
2017-05-16,259.993,18.2,Weekday
2017-05-17,260.577,15.8,Weekday
2017-05-18,254.701,19.7,Weekday
2017-05-19,258.107,17.2,Weekday
2017-05-20,224.269,18.5,Weekend
2017-05-21,218.274,17.5,Weekend
2017-05-22,242.31,19.1,Weekday
2017-05-23,247.292,18,Weekday
2017-05-24,252.662,17.1,Weekday
2017-05-25,255.651,17.4,Weekday
2017-05-26,248.25,17.4,Weekday
2017-05-27,225.589,17.8,Weekend
2017-05-28,233.53,14.1,Weekend
2017-05-29,271.518,14,Weekday
2017-05-30,279.819,13.4,Weekday
2017-05-31,284.121,12.6,Weekday
2017-06-01,283.089,12.8,Weekday
2017-06-02,275.41,14.4,Weekday
2017-06-03,245.833,14.2,Weekend
2017-06-04,241.02,14.9,Weekend
2017-06-05,275.588,17.5,Weekday
2017-06-06,280.147,12.8,Weekday
2017-06-07,278.213,13.5,Weekday
2017-06-08,285.066,14.7,Weekday
2017-06-09,269.488,14.2,Weekday
2017-06-10,241.86,14.5,Weekend
2017-06-11,230.666,16.8,Weekend
2017-06-12,239.025,16.9,Weekday
2017-06-13,275.802,13.7,Weekday
2017-06-14,277.197,16.1,Weekday
2017-06-15,274.615,17.1,Weekday
2017-06-16,272.389,16.6,Weekday
2017-06-17,244.982,15.3,Weekend
2017-06-18,234.408,15.9,Weekend
2017-06-19,274.444,15.7,Weekday
2017-06-20,273.953,15.3,Weekday
2017-06-21,281.4,13.2,Weekday
2017-06-22,283.687,13,Weekday
2017-06-23,274.55,13.2,Weekday
2017-06-24,248.449,12.6,Weekend
2017-06-25,242.998,13.9,Weekend
2017-06-26,280.541,12.8,Weekday
2017-06-27,293.154,10.6,Weekday
2017-06-28,286.557,13.8,Weekday
2017-06-29,286.925,12.2,Weekday
2017-06-30,285.212,11.7,Weekday
2017-07-01,258.972,12.6,Weekend
2017-07-02,252.068,12.6,Weekend
2017-07-03,290.556,12.9,Weekday
2017-07-04,274.249,15.9,Weekday
2017-07-05,275.182,14.3,Weekday
2017-07-06,280.009,14.4,Weekday
2017-07-07,273.404,12.8,Weekday
2017-07-08,252.296,13.9,Weekend
2017-07-09,241.767,14.1,Weekend
2017-07-10,274.463,16,Weekday
2017-07-11,278.01,13.8,Weekday
2017-07-12,283.684,14.3,Weekday
